Time,Adc,Vdc
1679353911.908642,27.802116,27.763
1679353916.1384892,28.27419925,28.229
1679353920.4449637,28.737182500000003,28.702
1679353924.7539048,29.212728000000002,29.165
1679353928.939379,29.667260000000002,29.64
1679353933.2539697,30.15350625,30.104
1679353937.4695508,30.60793875,30.578
1679353941.754908,31.094249249999997,31.053
1679353946.03279,31.5465815,31.518
1679353950.3474064,32.031972,31.991
1679353954.5543377,32.474987999999996,32.456
1679353958.8388197,32.970024249999994,32.931
1679353963.1053357,33.428089,33.403
1679353967.3689814,33.9049025,33.869
1679353971.6407785,34.3569315,34.341
1679353975.9165215,34.838905499999996,34.808
1679353980.176682,35.293589499999996,35.281
1679353984.425465,35.7729055,35.745
1679353988.6872413,36.22986875,36.222
1679353992.947564,36.717718999999995,36.695
1679353997.2133667,37.17208275,37.159
1679354001.4767928,37.65244975,37.632
1679354005.7846136,38.107969,38.1
1679354010.0052683,38.588418,38.569
1679354014.2859647,39.048441249999996,39.035
1679354018.5334675,39.521048750000006,39.508
1679354022.8069031,39.9859255,39.981
1679354027.061894,40.4660035,40.446
1679354031.348377,40.93149475,40.92
1679354035.6159484,41.39345175,41.386
1679354039.8787231,41.8524455,41.858
1679354044.150075,42.342971,42.331
1679354048.3988886,42.801687,42.795
1679354052.635618,43.265916749999995,43.269
1679354056.9280815,43.735156,43.734
1679354061.1971684,44.2217415,44.207
1679354065.4565544,44.684397,44.673
1679354069.7234447,45.144943,45.146
1679354073.9580748,45.61486425,45.62
1679354078.2733247,46.09975925,46.085
1679354082.4876168,46.562861500000004,46.558
1679354086.7887752,47.02170275,47.023
1679354091.0451324,47.48635,47.496
1679354095.316915,47.969781000000005,47.96
1679354099.5459447,48.438104499999994,48.436
1679354103.85829,48.91947925,48.91
1679354108.0746875,49.36037525,49.374
1679354112.35942,49.85046199999999,49.848
1679354116.6269937,50.31540425,50.314
1679354120.8862052,50.77499575,50.788
1679354125.1600106,51.24742025,51.261
1679354129.4382133,51.722074250000006,51.726
1679354133.6667843,52.197185499999996,52.2
1679354137.9470675,52.64046,52.665
1679354142.2077186,53.109896000000006,53.138
1679354146.4684503,53.59682275,53.603
1679354150.7340634,54.066717,54.076
1679354154.9977367,54.52151975,54.55
1679354159.2659435,54.9842845,55.011
1679354163.5293918,55.470252,55.484
1679354167.7938051,55.94101825,55.948
1679354172.0614614,56.3886385,56.422
1679354176.2921653,56.8559275,56.886
1679354180.561809,57.347247,57.36
1679354184.8152003,57.82725325,57.834
1679354189.1041179,58.26420025,58.301
1679354193.343401,58.733725750000005,58.776
1679354197.6453407,59.22441025,59.239
1679354201.8813806,59.696442749999996,59.713
1679354206.184538,60.13289,60.175
1679354210.4243042,60.60207075,60.649
1679354214.6854672,61.09609425,61.123
1679354218.9581065,61.56997775000001,61.591
1679354223.2348928,62.0085105,62.064
1679354227.4613135,62.4751215,62.528
1679354231.7450588,62.9722235,63.003
1679354236.0051572,63.445429000000004,63.476
1679354240.2662778,63.88029675,63.94
1679354244.4982162,64.3553085,64.414
1679354248.7441638,64.848625,64.877
1679354253.007187,65.32933424999999,65.353
1679354257.2745368,65.762865,65.817
1679354261.6032448,66.2388285,66.291
1679354265.8037374,66.72024525,66.762
1679354270.0839257,67.2037905,67.226
1679354274.3535538,67.63935825,67.7
1679354278.604672,68.10746,68.164
1679354282.8835146,68.60091,68.641
1679354287.1678023,69.0734975,69.105
1679354291.4349067,69.50345975,69.579
1679354295.696584,69.98117625,70.051
